eventid,src_ip,src_port,dst_ip,dst_port,session,protocol,version,hassh,hasshAlgorithms,message,sensor,timestamp
cowrie.session.connect,172.104.11.4,23622,172.233.154.19,2222,fcdb6fc32cc6,ssh,,,,New connection: 172.104.11.4:23622 (172.233.154.19:2222) [session: fcdb6fc32cc6],localhost,2024-10-06T19:11:57.071579Z
cowrie.client.version,172.104.11.4,,,,fcdb6fc32cc6,,SSH-2.0-Go,,,Remote SSH version: SSH-2.0-Go,localhost,2024-10-06T19:11:57.072265Z
cowrie.client.kex,172.104.11.4,,,,fcdb6fc32cc6,,,4e066189c3bbeec38c99b1855113733a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,ext-info-c;aes128-gcm@openssh.com,chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-256,hmac-sha1,hmac-sha1-96;none",SSH client hassh fingerprint: 4e066189c3bbeec38c99b1855113733a,localhost,2024-10-06T19:11:57.133739Z
cowrie.session.closed,172.104.11.4,,,,fcdb6fc32cc6,,,,,Connection lost after 0 seconds,localhost,2024-10-06T19:11:57.197943Z
cowrie.session.connect,172.104.11.4,23630,172.233.154.19,2222,cf121c9313cc,ssh,,,,New connection: 172.104.11.4:23630 (172.233.154.19:2222) [session: cf121c9313cc],localhost,2024-10-06T19:11:57.257955Z
cowrie.client.version,172.104.11.4,,,,cf121c9313cc,,SSH-2.0-Go,,,Remote SSH version: SSH-2.0-Go,localhost,2024-10-06T19:11:57.258420Z
cowrie.client.kex,172.104.11.4,,,,cf121c9313cc,,,4e066189c3bbeec38c99b1855113733a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,ext-info-c;aes128-gcm@openssh.com,chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-256,hmac-sha1,hmac-sha1-96;none",SSH client hassh fingerprint: 4e066189c3bbeec38c99b1855113733a,localhost,2024-10-06T19:11:57.319527Z
cowrie.session.closed,172.104.11.4,,,,cf121c9313cc,,,,,Connection lost after 0 seconds,localhost,2024-10-06T19:11:57.382383Z
cowrie.session.connect,172.104.11.4,23640,172.233.154.19,2222,8fb36087ad31,ssh,,,,New connection: 172.104.11.4:23640 (172.233.154.19:2222) [session: 8fb36087ad31],localhost,2024-10-06T19:11:57.443112Z
cowrie.client.version,172.104.11.4,,,,8fb36087ad31,,SSH-2.0-Go,,,Remote SSH version: SSH-2.0-Go,localhost,2024-10-06T19:11:57.443563Z
cowrie.client.kex,172.104.11.4,,,,8fb36087ad31,,,4e066189c3bbeec38c99b1855113733a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,ext-info-c;aes128-gcm@openssh.com,chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr;hmac-sha2-256-etm@openssh.com,hmac-sha2-256,hmac-sha1,hmac-sha1-96;none",SSH client hassh fingerprint: 4e066189c3bbeec38c99b1855113733a,localhost,2024-10-06T19:11:57.505003Z
cowrie.session.closed,172.104.11.4,,,,8fb36087ad31,,,,,Connection lost after 0 seconds,localhost,2024-10-06T19:11:57.567665Z
cowrie.session.connect,14.225.210.238,33266,172.233.154.19,2222,da4fe9883021,ssh,,,,New connection: 14.225.210.238:33266 (172.233.154.19:2222) [session: da4fe9883021],localhost,2024-10-06T19:27:26.300566Z
cowrie.client.version,14.225.210.238,,,,da4fe9883021,,SSH-2.0-libssh_0.9.6,,,Remote SSH version: SSH-2.0-libssh_0.9.6,localhost,2024-10-06T19:27:26.301460Z
cowrie.client.kex,14.225.210.238,,,,da4fe9883021,,,f555226df1963d1d3c09daf865abdc9a,"curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group18-sha512,diffie-hellman-group16-sha512,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1,ext-info-c;aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr,aes256-cbc,aes192-cbc,aes128-cbc,3des-cbc;hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1;none",SSH client hassh fingerprint: f555226df1963d1d3c09daf865abdc9a,localhost,2024-10-06T19:27:27.236450Z
cowrie.login.failed,14.225.210.238,,,,da4fe9883021,,,,,login attempt [user/userpassword] failed,localhost,2024-10-06T19:27:27.826079Z
cowrie.session.closed,14.225.210.238,,,,da4fe9883021,,,,,Connection lost after 2 seconds,localhost,2024-10-06T19:27:29.023883Z
